compound,neg,neu,pos,Bank,Sentiment
-0.5574,0.195,0.805,0.0,Bank of America,neg
-0.6705,0.228,0.772,0.0,Bank of America,neg
-0.7506,0.171,0.829,0.0,Bank of America,neg
-0.5574,0.304,0.561,0.136,Bank of America,neg
0.6124,0.088,0.701,0.21,Bank of America,pos
-0.802,0.305,0.695,0.0,Bank of America,neg
-0.7506,0.211,0.789,0.0,Bank of America,neg
-0.802,0.269,0.731,0.0,Bank of America,neg
0.9062,0.0,0.423,0.577,Bank of America,pos
-0.5423,0.636,0.364,0.0,Bank of America,neg
0.6124,0.0,0.865,0.135,Bank of America,pos
0.5574,0.0,0.769,0.231,Bank of America,pos
0.5574,0.0,0.833,0.167,Bank of America,pos
-0.5267,0.199,0.711,0.091,Bank of America,neg
0.7346,0.0,0.744,0.256,Bank of America,pos
-0.7506,0.234,0.766,0.0,Bank of America,neg
-0.5965,0.492,0.508,0.0,Bank of America,neg
-0.7506,0.234,0.766,0.0,Bank of America,neg
-0.7506,0.234,0.766,0.0,Bank of America,neg
-0.7506,0.286,0.714,0.0,Bank of America,neg
-0.9468,0.444,0.556,0.0,Bank of America,neg
0.5574,0.0,0.735,0.265,Bank of America,pos
0.5574,0.0,0.795,0.205,Bank of America,pos
0.8658,0.0,0.637,0.363,Bank of America,pos
-0.7506,0.234,0.766,0.0,Bank of America,neg
0.6908,0.046,0.786,0.168,Bank of America,pos
0.5574,0.0,0.783,0.217,Bank of America,pos
0.765,0.079,0.61,0.311,Bank of America,pos
0.9081,0.0,0.427,0.573,Bank of America,pos
-0.7506,0.252,0.748,0.0,Bank of America,neg
0.8225,0.0,0.691,0.309,Bank of America,pos
-0.5423,0.189,0.811,0.0,Bank of America,neg
-0.9231,0.596,0.404,0.0,Bank of America,neg
0.6908,0.0,0.66,0.34,Bank of America,pos
-0.8625,0.491,0.509,0.0,Bank of America,neg
-0.802,0.261,0.739,0.0,Bank of America,neg
0.91,0.0,0.557,0.443,Bank of America,pos
0.8402,0.0,0.68,0.32,Bank of America,pos
0.5859,0.0,0.725,0.275,Bank of America,pos
0.9477,0.0,0.543,0.457,Bank of America,pos
0.9382,0.0,0.525,0.475,Bank of America,pos
0.7906,0.0,0.795,0.205,Bank of America,pos
0.7096,0.0,0.809,0.191,Bank of America,pos
0.7351,0.0,0.708,0.292,Bank of America,pos
0.5574,0.0,0.886,0.114,Bank of America,pos
0.5267,0.086,0.757,0.158,Bank of America,pos
0.5574,0.0,0.886,0.114,Bank of America,pos
-0.5423,0.467,0.533,0.0,Bank of America,neg
-0.6249,0.291,0.709,0.0,Bank of America,neg
